Programming in Python 3.3,1
Bucknell University ELEC 240 Spring 2015: Digital Design,6
College of Southern Idaho CISW 125 Spring 2015: Programming in Python 3.3,6
OU AME 2402: Programming in C,12
University of Missouri - St. Louis Math 3000 Spring 2015: Discrete Math,30
UC Irvine ICS 6D Spring 2015: Discrete Math,2
University of Oklahoma AME 3623 Spring 2015: Programming Embedded Systems,1
Central Michigan University CPS 180 Spring 2015: Programming in Java,2
University of Wisconsin-Madison CS302 Summer 2015: Programming in Java,1
The American School in London APCS: Programming in Java,1
"Tulane University CMPS 1600 Spring 2015: Programming in C, C++, and Java",1
Washington State University CPTS 111 Spring 2015: Programming in Python 3.3,1
University of Florida COP 3503 Summer 2015: Programming in C++,6
University of South Florida COP 3514 Spring 2015: Programming in C,8
University of Utah ME EN 1010 Spring 2015: Programming in C and MATLAB,1
SVSU Math 300: Discrete Mathematics,22
Learn Java,1
Penn State Behrend CMPEN 270 Spring 2015: Digital Design,1
Grove City College MATH 213: Discrete Mathematics,1
BYU ECEN 330: Programming in C and Embedded Systems,1
Estrella Mountain Community College CSC100AA Fall 2015: Programming in C++,2
Programming in C++ with Data Structures,2
University of Memphis COMP 1900 Summer 2015: Programming in Java,1
UC Riverside ARC 35 Winter 2015: Algebra,1
Macomb Community College ITCS 1140 Spring 2015: Programming in Python 3.3,7
AP Java,1
Portland State University CS161 Summer 2015: Programming in C++,1
UCI ICS 6B: Discrete Mathematics,2
Discrete Mathematics,1
Columbia College CIS 211: Programming in Python 3.3,1
UC Riverside ARC 35 Spring 2015: Algebra,7
Columbia College CIS 212 Spring 2015: Programming in Java with Data Structures,14
Lander University CIS 230 Spring 2015: Programming in Java,98
St. Bonaventure University CS 131: Programming in Java with Data Structures,1
Tulane University COSC 3000/6000: Programming in C++,3
Davidson College CSC 121: Programming in Python 2.7,2
"GA Tech Advanced GIS: Programming in Python 2.7, Python 3.3, and MATLAB",47
Wake Forest University CSC 111a Santago Spring 2015: Programming in Python 3.3,7
Penn State University IST 230 Spring 2015: Discrete Mathematics,36
Fresno State CSCI 40: Programming in C++,35
NNU ENGR 4230: Programming Embedded Systems,36
Discrete Math,1
University of Denver COMP 2355 Winter 2015: Programming in C++ and C,3
UCR ARC 35 Algebra Summer 2014,12
NKU INF 120: Programming in Python 2.7,1
Worcester Technical High School AP Computer Science 1091 Fall 2015: Programming in Java: AP Edition,1
Taylor University COS 121 Spring 2015: Programming in C++,1
University of Kansas EECS 210: Discrete Mathematics,6
USF COP 3514: Programming in C with Data Structures,9
UCR CS 10 Winter 2015: Programming in C++ with Data Structures,2
Programming in Python 2.7,1
Macomb Community College ITCS 1140 Fall 2015: Programming in Python 3.3,7
SD State CSC 150: Programming in C with Data Structures,1
Florida Gulf Coast University ISM 3230 Spring 2015: Programming in Java,1
SJSU CS 49C Howell: Programming in C,9
Delaware Technical Community College CIS 120 Summer 2015: Programming in Java,2
Computing Technology for All,1
CIS 230: Computer Programming Principles I,87
ULM CSCI 2003: Programming in Java,37
UC San Diego CSE 11 Jundt Winter 2015: Programming in Java,6
Metro State University of Denver CS 1050 Spring 2015: Programming in Java,2
Colorado School of Mines CSCI 261 Spring 2015: Programming in C++,8
South Dakota School of Mines and Technology CSC 170/170L Fall 2015: Programming in C,1
Programming Embedded Systems,1
Beloit College CSCI 111: Programming in Java,14
Programming in C++,1
Programming in MATLAB,1
SDSU CompE 160 Spring 2015: Programming in C,2
Calvin CS 108: Programming in Python 3.3,16
Programming in C,1
Programming in Java,1
CS10: Intro to Programming,3
CS/EE 120B: Programming Embedded Systems,1
Lewis University LP-200-1 Winter 2015: Programming in Python 3.3,3
Macalester College COMP 240: Programming in C,1
Disney II Magnet: Programming in Java and Discrete Mathematics,1
Grand Valley State CIS 162 Spring 2015: Programming in Java: Early Objects,4
Michigan Technological University ENG1101 Spring 2015: Programming in MATLAB,4
Lake Brantley High School AP CS: Programming in Java,1
Data Structures Essentials,1
FGCU ISM 3230: Programming in Java,42
UCR CS 10 Fall 2014: Programming in C++ with Data Structures,1
Digital Design,1
CSU Fresno CSCI 40: Programming in C++,3
Cerro Coso CSCI 267: Programming in Java,1
UCR ARC 35 Algebra Fall 2014,7
University of Michigan ENGR 151: Programming in MATLAB and C++,2
